order,genus,species,genetics,voucher_ID,country,state_province,biome,locality,latitude,longitude,source,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
95,Anolis,punctatus,no,KU_204979,Peru,Madre de Dios,Amazonia,Cuzco Amazonico 15 km E Puerto Maldonado,-12.5833,-69.0833,VertNet,255,112,72,1068,328,174,154,262,239,265,239,2158,333,53,55,914,177,693,177
96,Anolis,punctatus,no,LSUMZH16491,Brazil,Amazonas,Amazonia,,-3.515,-59.9033,LSU Museum of Natural Science,273,85,82,433,329,226,103,268,278,279,268,2144,280,66,43,806,237,268,806
97,Anolis,punctatus,no,MCZ_R-100044,Peru,Huanuco,Amazonia,Tingo Maria Peru,-9.3034,-76.0022,VertNet,244,122,91,245,309,176,133,244,241,246,241,3027,417,111,39,1120,368,926,368
98,Anolis,punctatus,no,MCZ_R-156841,Ecuador,Pastaza,Amazonia,Ecuador: Hosteria Turingia Puyo [VERBATIM ELEVATION:950m],-1.4667,-77.9833,VertNet,212,95,85,460,268,157,111,210,213,215,204,4441,456,296,14,1307,941,1078,1147
99,Anolis,punctatus,no,MCZ_R-164431,Ecuador,Orellana,Amazonia,Ecuador: Napo: Coca (Francisco de Orellana) [VERBATIM ELEVATION:250m],-0.4667,-76.9667,VertNet,248,98,88,413,305,194,111,244,245,252,242,3319,374,186,17,995,678,888,861
100,Anolis,punctatus,no,MCZ_R-57387,Peru,San Martin,Amazonia,Pachisa R. Huayabamba region,-7.2667,-76.7667,VertNet,263,121,86,525,329,189,140,263,255,269,255,1647,200,75,30,540,241,432,241
101,Anolis,punctatus,no,MCZ_R-57388,Peru,Amazonas,Amazonia,Mouth of Rio Cenipa Maranon valley,-4.65,-78.1333,VertNet,254,100,86,414,315,199,116,254,250,259,248,2730,286,184,13,782,582,667,603
102,Anolis,punctatus,no,MCZ_R-57389,Peru,San Martin,Amazonia,Achinamisa Huallaga valley,-6.4167,-75.9,VertNet,259,122,85,449,328,186,142,258,252,263,252,2330,299,108,28,763,361,582,423
103,Anolis,punctatus,no,MCZ_R-65577,Brazil,Para,Amazonia,Brasil: Cochimbo Para,-8.95,-54.9,VertNet,242,140,68,598,350,145,205,239,240,249,235,2443,418,10,71,1112,35,357,1104
104,Anolis,punctatus,no,MCZ_R-92532,Brazil,Amazonas,Amazonia,Rserva Ducke: Manaus: Amazonas: Brasil,-3.1133,-60.0253,VertNet,274,83,81,446,330,228,102,270,280,281,270,2154,296,56,47,843,210,259,828
